Local time,Open,High,Low,Close,Volume
26.08.2022 03:00:00.000 GMT+0300,0.99704,1.00898,0.99463,0.99623,418092.4375
27.08.2022 03:00:00.000 GMT+0300,0.99623,0.99623,0.99623,0.99623,0
28.08.2022 03:00:00.000 GMT+0300,0.99657,0.99670,0.99349,0.99359,27554.4805
29.08.2022 03:00:00.000 GMT+0300,0.99362,1.00291,0.99141,1.00107,408628.9375
30.08.2022 03:00:00.000 GMT+0300,1.00105,1.00547,0.99818,1.00234,539462.4375
31.08.2022 03:00:00.000 GMT+0300,1.00233,1.00790,0.99712,1.00380,558629.5
01.09.2022 03:00:00.000 GMT+0300,1.00380,1.00485,0.99107,0.99514,533883.5
02.09.2022 03:00:00.000 GMT+0300,0.99515,1.00335,0.99449,0.99515,537444.4375
03.09.2022 03:00:00.000 GMT+0300,0.99515,0.99515,0.99515,0.99515,0
04.09.2022 03:00:00.000 GMT+0300,0.99285,0.99347,0.99030,0.99077,31957.7324
05.09.2022 03:00:00.000 GMT+0300,0.99075,0.99518,0.98772,0.99500,392830.5625
06.09.2022 03:00:00.000 GMT+0300,0.99501,0.99862,0.98638,0.98970,611605.5
07.09.2022 03:00:00.000 GMT+0300,0.98971,1.00128,0.98756,0.99976,527865.875
08.09.2022 03:00:00.000 GMT+0300,0.99981,1.00294,0.99303,1.00097,512439.25
09.09.2022 03:00:00.000 GMT+0300,1.00096,1.01131,1.00083,1.00425,346953
10.09.2022 03:00:00.000 GMT+0300,1.00425,1.00425,1.00425,1.00425,0
11.09.2022 03:00:00.000 GMT+0300,1.01039,1.01039,1.00596,1.00702,23794.6797
12.09.2022 03:00:00.000 GMT+0300,1.00703,1.01977,1.00629,1.01290,387476.2813
13.09.2022 03:00:00.000 GMT+0300,1.01290,1.01870,0.99554,0.99778,549671.3125
14.09.2022 03:00:00.000 GMT+0300,0.99779,1.00234,0.99595,0.99820,635055.5625
15.09.2022 03:00:00.000 GMT+0300,0.99819,1.00177,0.99556,0.99874,491298.75
16.09.2022 03:00:00.000 GMT+0300,0.99876,1.00363,0.99448,1.00146,493561.875
17.09.2022 03:00:00.000 GMT+0300,1.00146,1.00146,1.00146,1.00146,0
18.09.2022 03:00:00.000 GMT+0300,1.00072,1.00285,1.00047,1.00220,18417.5
19.09.2022 03:00:00.000 GMT+0300,1.00219,1.00322,0.99657,1.00297,382032.5625
20.09.2022 03:00:00.000 GMT+0300,1.00297,1.00504,0.99550,0.99710,427114.375
21.09.2022 03:00:00.000 GMT+0300,0.99710,0.99750,0.98128,0.98313,652419.3125
22.09.2022 03:00:00.000 GMT+0300,0.98316,0.99074,0.98080,0.98383,784096.1875
23.09.2022 03:00:00.000 GMT+0300,0.98384,0.98517,0.96680,0.96885,704859.6875
24.09.2022 03:00:00.000 GMT+0300,0.96885,0.96885,0.96885,0.96885,0
25.09.2022 03:00:00.000 GMT+0300,0.96666,0.97098,0.96666,0.96855,33420.7891
26.09.2022 03:00:00.000 GMT+0300,0.96854,0.97013,0.95503,0.96200,1023484.5
27.09.2022 03:00:00.000 GMT+0300,0.96201,0.96707,0.95689,0.95953,687162.75
28.09.2022 03:00:00.000 GMT+0300,0.95953,0.97508,0.95357,0.97054,964531.1875
29.09.2022 03:00:00.000 GMT+0300,0.97055,0.98437,0.96353,0.98291,712696
30.09.2022 03:00:00.000 GMT+0300,0.98292,0.98537,0.97346,0.98013,555819.625
01.10.2022 03:00:00.000 GMT+0300,0.98013,0.98013,0.98013,0.98013,0
02.10.2022 03:00:00.000 GMT+0300,0.97933,0.98086,0.97891,0.97932,29276.6504
03.10.2022 03:00:00.000 GMT+0300,0.97931,0.98445,0.97525,0.98334,702902.125
04.10.2022 03:00:00.000 GMT+0300,0.98335,0.99995,0.98060,0.99836,585299
05.10.2022 03:00:00.000 GMT+0300,0.99839,0.99947,0.98346,0.99116,551133.75
06.10.2022 03:00:00.000 GMT+0300,0.99115,0.99264,0.97862,0.97888,715901
07.10.2022 03:00:00.000 GMT+0300,0.97888,0.98167,0.97259,0.97388,638962.3125
08.10.2022 03:00:00.000 GMT+0300,0.97388,0.97388,0.97388,0.97388,0
09.10.2022 03:00:00.000 GMT+0300,0.97336,0.97395,0.97274,0.97342,28964.6992
10.10.2022 03:00:00.000 GMT+0300,0.97343,0.97531,0.96815,0.97110,487474.8125
11.10.2022 03:00:00.000 GMT+0300,0.97112,0.97745,0.96698,0.97004,779376.8125
12.10.2022 03:00:00.000 GMT+0300,0.97004,0.97346,0.96678,0.97046,759747.5625
13.10.2022 03:00:00.000 GMT+0300,0.97046,0.98057,0.96315,0.97671,792624.0625
14.10.2022 03:00:00.000 GMT+0300,0.97669,0.98086,0.97070,0.97182,788521.125
15.10.2022 03:00:00.000 GMT+0300,0.97182,0.97182,0.97182,0.97182,0
16.10.2022 03:00:00.000 GMT+0300,0.97201,0.97430,0.97182,0.97395,33260.9219
17.10.2022 03:00:00.000 GMT+0300,0.97395,0.98520,0.97197,0.98435,640690.9375
18.10.2022 03:00:00.000 GMT+0300,0.98434,0.98755,0.98124,0.98625,706946.5
19.10.2022 03:00:00.000 GMT+0300,0.98625,0.98667,0.97571,0.97652,669104.5625
20.10.2022 03:00:00.000 GMT+0300,0.97653,0.98454,0.97544,0.97782,713252.75
